gene,cv_young,cv_old,cv_fc,gapdh_fc,cv_norm_fc,det_young,det_old,det_delta,mean_young,mean_old,flag
Gja1,1.0766175,2.0450444,1.8995088,2.6483653,0.71723825,0.5283018867924528,0.2777777777777778,-0.25052410901467503,348.83334,320.15,↓ LESS THAN GLOBAL
Gja5,1.4750324,0.9342957,0.6334069,2.6483653,0.239169,0.2830188679245283,0.05555555555555555,-0.22746331236897274,82.844444,77.125,↓ LESS THAN GLOBAL
Scn5a,0.8781463,2.3225617,2.644846,2.6483653,0.9986711,0.20125786163522014,0.0763888888888889,-0.12486897274633124,77.875,371.81818,≈ GLOBAL NOISE
Kcnj2,1.2604486,1.518302,1.2045727,2.6483653,0.4548363,0.16981132075471697,0.034722222222222224,-0.13508909853249473,41.703705,325.2,↓ LESS THAN GLOBAL
Cacna1c,1.6248677,1.1045629,0.6797864,2.6483653,0.2566815,0.20125786163522014,0.05555555555555555,-0.14570230607966458,40.03125,65.125,↓ LESS THAN GLOBAL
Kcnq1,0.8502912,1.0636197,1.2508888,2.6483653,0.47232488,0.29559748427672955,0.0763888888888889,-0.21920859538784065,108.06383,162.90909,↓ LESS THAN GLOBAL
Dsp,0.8509861,1.5935508,1.8725932,2.6483653,0.7070751,0.46540880503144655,0.1736111111111111,-0.29179769392033544,314.83783,144.68,↓ LESS THAN GLOBAL
Jup,1.7582184,1.9180413,1.0909005,2.6483653,0.41191468,0.5786163522012578,0.3472222222222222,-0.23139412997903563,204.54347,209.68,↓ LESS THAN GLOBAL
Pkp2,1.0091186,1.1880364,1.1773012,2.6483653,0.44453883,0.27044025157232704,0.0763888888888889,-0.19405136268343814,101.139534,236.90909,↓ LESS THAN GLOBAL
Ryr2,0.885133,2.5350375,2.8640187,2.6483653,1.0814289,0.48427672955974843,0.20833333333333334,-0.27594339622641506,660.2857,536.56665,≈ GLOBAL NOISE
Atp2a2,1.1338809,2.346011,2.06901,2.6483653,0.7812404,0.7672955974842768,0.4513888888888889,-0.3159067085953879,3580.9263,2345.5386,↓ LESS THAN GLOBAL
Gapdh,1.0017153,2.652908,2.6483653,2.6483653,1.0,0.9371069182389937,0.9375,0.00039308176100627534,1406.8456,1466.4889,≈ GLOBAL NOISE
Actb,2.3819637,5.2068925,2.1859663,2.6483653,0.8254021,0.9811320754716981,0.9305555555555556,-0.05057651991614254,1166.4679,1586.0,↓ LESS THAN GLOBAL
