gene,KW_H,KW_p,MW_p,r_rb
Gja1,43.71118556632771,3.2228244929080166e-10,0.000662878305341358,-0.10255848680935786
Gja5,23.717564723303834,7.076137417359169e-06,0.3213782943420761,-0.022777501244400256
Gjc1,1.564183649178174,0.45744810857053086,0.000768933841679467,0.07755102040816331
Scn5a,36.64623585927088,1.4163223751257123e-09,0.30161844428051254,-0.027177700348432143
Kcnj2,15.152852351243327,0.0005123891435477961,0.13305191613230594,-0.03396714783474364
Cacna1c,51.93364579100996,5.281437003396262e-12,0.6510336367004254,-0.011687406669985023
Dsp,84.8883647132601,3.6874472270565027e-19,0.00021687207444000758,-0.10898954703832753
Jup,81.01317417073858,2.559839569909195e-18,0.4799250108236238,-0.021523145843703295
Pkp2,111.33263278943595,6.674611031361281e-25,0.11877479027646469,0.04282727725236435
Ryr2,35.041306808862906,2.4596703564468672e-08,0.0029180255333091897,-0.08836236933797914
Atp2a2,90.0690117099806,2.765429631193628e-20,0.0009535741592240589,-0.10331508213041318
Gapdh,1.1552640989044407,0.5612257491771622,0.5142599845503233,-0.02058735689397717
Actb,48.21607153204558,3.3885437502823935e-11,0.2136038096674039,0.039243404678944716
